Header:
std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=7674, nanosec=489828461), frame_id='sensor_kit_base_link')
Fields:
sensor_msgs.msg.PointField(name='x', offset=0, datatype=7, count=1)
sensor_msgs.msg.PointField(name='y', offset=4, datatype=7, count=1)
sensor_msgs.msg.PointField(name='z', offset=8, datatype=7, count=1)
sensor_msgs.msg.PointField(name='intensity', offset=16, datatype=7, count=1)
sensor_msgs.msg.PointField(name='ring', offset=20, datatype=4, count=1)
sensor_msgs.msg.PointField(name='azimuth', offset=24, datatype=7, count=1)
sensor_msgs.msg.PointField(name='distance', offset=28, datatype=7, count=1)
sensor_msgs.msg.PointField(name='return_type', offset=32, datatype=2, count=1)
sensor_msgs.msg.PointField(name='time_stamp', offset=40, datatype=8, count=1)

Data:
Point(x=-11.12442, y=0.1942215, z=-2.1330647, intensity=100.0, ring=3, azimuth=0.0, distance=11.334352, return_type=0, time_stamp=0.0)
Point(x=-13.850464, y=0.24190903, z=-2.1629114, intensity=100.0, ring=4, azimuth=0.0, distance=14.025228, return_type=0, time_stamp=0.0)
Point(x=-18.353973, y=0.32038116, z=-2.2213316, intensity=100.0, ring=5, azimuth=0.0, distance=18.49461, return_type=0, time_stamp=0.0)
Point(x=-27.279266, y=0.47618866, z=-2.35299, intensity=100.0, ring=6, azimuth=0.0, distance=27.387644, return_type=0, time_stamp=0.0)
Point(x=-47.2959, y=0.8254852, z=-2.4435525, intensity=100.0, ring=7, azimuth=0.0, distance=47.368015, return_type=0, time_stamp=0.0)
Point(x=-7.8745728, y=0.16496658, z=-2.0839694, intensity=100.0, ring=1, azimuth=0.0, distance=8.15414, return_type=0, time_stamp=0.0)
Point(x=-9.238739, y=0.19353867, z=-2.1053972, intensity=100.0, ring=2, azimuth=0.0, distance=9.483823, return_type=0, time_stamp=0.0)
Point(x=-11.124786, y=0.2330513, z=-2.1332927, intensity=100.0, ring=3, azimuth=0.0, distance=11.335475, return_type=0, time_stamp=0.0)
Point(x=-13.850433, y=0.29015732, z=-2.163081, intensity=100.0, ring=4, azimuth=0.0, distance=14.026138, return_type=0, time_stamp=0.0)
Point(x=-18.354218, y=0.38453674, z=-2.221507, intensity=100.0, ring=5, azimuth=0.0, distance=18.496107, return_type=0, time_stamp=0.0)
Point(x=-27.280365, y=0.5715599, z=-2.353256, intensity=100.0, ring=6, azimuth=0.0, distance=27.390593, return_type=0, time_stamp=0.0)
Point(x=-47.279236, y=0.9900284, z=-2.442858, intensity=100.0, ring=7, azimuth=0.0, distance=47.35451, return_type=0, time_stamp=0.0)
Point(x=-7.8745728, y=0.19246674, z=-2.084126, intensity=100.0, ring=1, azimuth=0.0, distance=8.154797, return_type=0, time_stamp=0.0)
Point(x=-9.238678, y=0.2257576, z=-2.1055799, intensity=100.0, ring=2, azimuth=0.0, distance=9.484521, return_type=0, time_stamp=0.0)
Point(x=-11.125122, y=0.27189255, z=-2.1335206, intensity=100.0, ring=3, azimuth=0.0, distance=11.336724, return_type=0, time_stamp=0.0)
Point(x=-13.850372, y=0.3383789, z=-2.1632502, intensity=100.0, ring=4, azimuth=0.0, distance=14.027196, return_type=0, time_stamp=0.0)
Point(x=-18.353943, y=0.44838715, z=-2.2216742, intensity=100.0, ring=5, azimuth=0.0, distance=18.497292, return_type=0, time_stamp=0.0)
Point(x=-27.281464, y=0.6669464, z=-2.3535213, intensity=100.0, ring=6, azimuth=0.0, distance=27.393858, return_type=0, time_stamp=0.0)
Point(x=-47.262238, y=1.1551056, z=-2.442159, intensity=100.0, ring=7, azimuth=0.0, distance=47.341225, return_type=0, time_stamp=0.0)
Point(x=-7.8746033, y=0.21998596, z=-2.0842824, intensity=100.0, ring=1, azimuth=0.0, distance=8.155545, return_type=0, time_stamp=0.0)
Point(x=-9.238647, y=0.2579918, z=-2.1057627, intensity=100.0, ring=2, azimuth=0.0, distance=9.48536, return_type=0, time_stamp=0.0)
Point(x=-11.125092, y=0.31071854, z=-2.1337435, intensity=100.0, ring=3, azimuth=0.0, distance=11.337729, return_type=0, time_stamp=0.0)
Point(x=-13.850189, y=0.3868103, z=-2.163419, intensity=100.0, ring=4, azimuth=0.0, distance=14.028287, return_type=0, time_stamp=0.0)
Point(x=-18.354065, y=0.5127983, z=-2.2218482, intensity=100.0, ring=5, azimuth=0.0, distance=18.499083, return_type=0, time_stamp=0.0)
Point(x=-27.281708, y=0.76192856, z=-2.3537736, intensity=100.0, ring=6, azimuth=0.0, distance=27.396593, return_type=0, time_stamp=0.0)
Point(x=-47.245026, y=1.3200989, z=-2.4414582, intensity=100.0, ring=7, azimuth=0.0, distance=47.32835, return_type=0, time_stamp=0.0)
Point(x=-7.8742676, y=0.2474289, z=-2.0844343, intensity=100.0, ring=1, azimuth=0.0, distance=8.156065, return_type=0, time_stamp=0.0)
Point(x=-9.238495, y=0.29034805, z=-2.1059449, intensity=100.0, ring=2, azimuth=0.0, distance=9.486193, return_type=0, time_stamp=0.0)
Point(x=-11.1250305, y=0.3495636, z=-2.1339662, intensity=100.0, ring=3, azimuth=0.0, distance=11.338853, return_type=0, time_stamp=0.0)
Point(x=-13.850037, y=0.43527222, z=-2.1635876, intensity=100.0, ring=4, azimuth=0.0, distance=14.029571, return_type=0, time_stamp=0.0)
Point(x=-18.353119, y=0.57661057, z=-2.222006, intensity=100.0, ring=5, azimuth=0.0, distance=18.500044, return_type=0, time_stamp=0.0)
Point(x=-27.281677, y=0.8572426, z=-2.3540227, intensity=100.0, ring=6, azimuth=0.0, distance=27.399405, return_type=0, time_stamp=0.0)
Point(x=-47.22647, y=1.4841957, z=-2.440743, intensity=100.0, ring=7, azimuth=0.0, distance=47.314632, return_type=0, time_stamp=0.0)
Point(x=-7.873932, y=0.2750244, z=-2.0845857, intensity=100.0, ring=1, azimuth=0.0, distance=8.156667, return_type=0, time_stamp=0.0)
Point(x=-9.238373, y=0.32270432, z=-2.1061273, intensity=100.0, ring=2, azimuth=0.0, distance=9.487142, return_type=0, time_stamp=0.0)
Point(x=-11.124908, y=0.38853073, z=-2.1341887, intensity=100.0, ring=3, azimuth=0.0, distance=11.340032, return_type=0, time_stamp=0.0)
Point(x=-13.849365, y=0.48365784, z=-2.163751, intensity=100.0, ring=4, azimuth=0.0, distance=14.030525, return_type=0, time_stamp=0.0)
Point(x=-18.352509, y=0.6409645, z=-2.22217, intensity=100.0, ring=5, azimuth=0.0, distance=18.501581, return_type=0, time_stamp=0.0)
Point(x=-27.29425, y=0.9530258, z=-2.3553743, intensity=100.0, ring=6, azimuth=0.0, distance=27.415207, return_type=0, time_stamp=0.0)
Point(x=-47.207336, y=1.6487846, z=-2.44002, intensity=100.0, ring=7, azimuth=0.0, distance=47.30094, return_type=0, time_stamp=0.0)
Point(x=-7.8733215, y=0.3024559, z=-2.0847328, intensity=100.0, ring=1, azimuth=0.0, distance=8.157066, return_type=0, time_stamp=0.0)
Point(x=-9.238007, y=0.354908, z=-2.1063044, intensity=100.0, ring=2, azimuth=0.0, distance=9.487963, return_type=0, time_stamp=0.0)
Point(x=-11.124756, y=0.4275093, z=-2.134411, intensity=100.0, ring=3, azimuth=0.0, distance=11.341337, return_type=0, time_stamp=0.0)
Point(x=-13.848694, y=0.53207016, z=-2.1639142, intensity=100.0, ring=4, azimuth=0.0, distance=14.03163, return_type=0, time_stamp=0.0)
Point(x=-18.351349, y=0.7050171, z=-2.222326, intensity=100.0, ring=5, azimuth=0.0, distance=18.502779, return_type=0, time_stamp=0.0)
Point(x=-27.308502, y=1.0489197, z=-2.3569524, intensity=100.0, ring=6, azimuth=0.0, distance=27.433025, return_type=0, time_stamp=0.0)
Point(x=-47.1868, y=1.8124962, z=-2.4392843, intensity=100.0, ring=7, azimuth=0.0, distance=47.286392, return_type=0, time_stamp=0.0)
Point(x=-7.872925, y=0.33006668, z=-2.084884, intensity=100.0, ring=1, azimuth=0.0, distance=8.157814, return_type=0, time_stamp=0.0)
