6.919254557352578498e-310,6.919254557352578498e-310,0.000000000000000000e+00,0.000000000000000000e+00
-3.465515518188476562e+01,1.372092723846435547e+01,1.301582813262939453e+00,8.614130616188049316e-01
-3.461644363403320312e+01,1.421135234832763672e+01,1.306734085083007812e+00,8.609046936035156250e-01
-4.192818450927734375e+01,1.972988700866699219e+01,1.618166565895080566e+00,8.307167887687683105e-01
-4.051816177368164062e+01,2.032536506652832031e+01,1.582968831062316895e+00,8.340749740600585938e-01
-3.919200897216796875e+01,2.028048706054687500e+01,1.540989518165588379e+00,8.380973339080810547e-01
-3.560355377197265625e+01,2.135896873474121094e+01,1.449868321418762207e+00,8.468964695930480957e-01
-3.720624923706054688e+01,2.494506263732910156e+01,1.564260363578796387e+00,8.358652591705322266e-01
-3.515425872802734375e+01,2.487218284606933594e+01,1.503800153732299805e+00,8.416776061058044434e-01
-3.325917816162109375e+01,2.480868530273437500e+01,1.448954224586486816e+00,8.469852805137634277e-01
-3.236281204223632812e+01,2.477905273437500000e+01,1.423357367515563965e+00,8.494737744331359863e-01
-3.149779319763183594e+01,2.475071144104003906e+01,1.398882508277893066e+00,8.518601059913635254e-01
-3.066222572326660156e+01,2.472359848022460938e+01,1.375462174415588379e+00,8.541497588157653809e-01
-1.958283233642578125e+01,1.983048820495605469e+01,9.732374548912048340e-01,8.944485783576965332e-01
-1.770560455322265625e+01,1.983048248291015625e+01,9.283497333526611328e-01,8.990623354911804199e-01
-1.556757736206054688e+01,1.981129837036132812e+01,8.798606395721435547e-01,9.040728807449340820e-01
-1.515828132629394531e+01,1.979755401611328125e+01,8.707209825515747070e-01,9.050204157829284668e-01
-1.475749969482421875e+01,1.978430557250976562e+01,8.619135618209838867e-01,9.059344530105590820e-01
-1.436486339569091797e+01,1.977154159545898438e+01,8.534257411956787109e-01,9.068162441253662109e-01
-1.323203086853027344e+01,1.973594665527343750e+01,8.297572135925292969e-01,9.092795252799987793e-01
-1.251109313964843750e+01,1.971430587768554688e+01,8.153672814369201660e-01,9.107804298400878906e-01
-1.215999984741210938e+01,1.970406723022460938e+01,8.085594177246093750e-01,9.114913344383239746e-01
-1.184650325775146484e+01,1.974708366394042969e+01,8.041520714759826660e-01,9.119519591331481934e-01
-6.845976352691650391e+00,1.209034156799316406e+01,4.851881265640258789e-01,9.459080100059509277e-01
-6.550644397735595703e+00,1.191557598114013672e+01,4.748341143131256104e-01,9.470313191413879395e-01
-1.045748043060302734e+01,2.084675216674804688e+01,8.144428730010986328e-01,9.108769297599792480e-01
-1.034916019439697266e+01,2.129435920715332031e+01,8.267826437950134277e-01,9.095894694328308105e-01
-1.002035140991210938e+01,2.129435539245605469e+01,8.218293786048889160e-01,9.101061224937438965e-01
